State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
MD,134,776,438-2228,yes,yes,0,9.105028925027431,4,7.36259306493443,6.1767925652688245,2,7.016987799455902,2.6836826985261717,200,8.296428328282618,5.071008770700087,3,1.463975754049175,9,True.
MD,95,776,977-7929,yes,no,0,12.06053560876043,2,7.121758657066135,8.809285966982312,0,8.277454894689809,5.193884624663325,150,4.942695771783769,3.6010120097837484,8,9.765036492634096,1,True.
MD,71,776,250-1983,no,yes,600,2.118628455216543,1,4.254912763318633,3.248302437919712,1,4.057379024210282,2.4417460250707714,150,4.168540425935944,5.456875026034461,4,6.317300975339412,5,False.
MD,170,776,252-5299,no,no,0,6.5244310845816536,2,7.3455820371202005,6.152685299089855,2,4.871878311680909,2.0163612131559367,250,5.622510300199192,2.6416384265982544,7,3.6438159361714906,6,True.
MD,13,776,974-4650,no,yes,700,5.074851995952561,0,6.563569907824906,7.490495794207447,4,3.0638836400275213,6.769123675093255,300,3.4620019128561736,5.154998420799467,5,8.493041747622387,4,False.
MD,14,776,518-7608,no,yes,400,1.4902491775529771,5,2.7971746499533148,2.5537883127301004,6,2.6766628022217613,4.3160669539327685,300,2.3245731034961348,6.156694302136409,4,4.211912627666637,4,False.
MD,53,776,547-6473,yes,no,0,2.6152763834104693,2,3.162215377655402,3.742916664368271,2,3.8766656387462484,5.08972075037208,200,3.9337108816084663,5.858077556163597,6,4.181360160295186,5,False.
MD,148,776,644-9701,no,yes,200,5.897349691203702,1,7.6112851929895315,7.1374121867390325,3,5.61636511729396,2.2877532969883285,350,4.833572019882566,6.282663504495287,4,6.239499096900159,5,True.
MD,102,776,487-6647,yes,no,0,13.219742026674956,1,9.894916504039411,7.872432631251588,0,8.631036843572746,2.4771043608697902,150,6.737472513090662,5.437483833880449,7,6.027477674090324,5,True.
MD,88,776,285-9210,no,yes,200,7.3024168032246175,3,6.845040304812466,8.909924877358838,2,3.752121531322392,1.961840483764813,300,7.743060047152453,4.256284200729395,7,0.18337727418236405,9,True.
MD,43,776,860-1693,yes,yes,600,2.8629389555273184,3,4.587953597423948,4.024853622774713,5,4.083320564477593,4.436738302552742,300,4.026547974767008,4.423550889209474,5,5.393556159926903,3,False.
MD,196,776,589-4595,no,no,0,2.0117541118119653,3,4.131317874708748,4.789720572314068,1,3.0259492722363848,2.742063870019304,150,5.31506717249091,4.808595599880161,4,3.4631040091104164,7,False.
MD,12,776,322-3727,yes,yes,400,6.13003404657745,5,4.4224062992682756,7.438036936190972,1,6.9995293167396415,2.8532576344182794,200,6.081388460251155,4.087819165653,2,6.242404939414848,8,True.
MD,114,776,591-9050,no,no,0,2.4162741249496045,2,5.228599853079418,4.812884147265403,7,2.3540895629088103,5.48109187334603,300,4.090302337791335,4.447230245424846,4,4.871889914220001,3,False.
MD,132,776,433-6486,no,no,0,4.324425031329806,7,5.920891295995099,6.969106630630325,5,4.462336453349554,1.9250280518376008,300,5.7892645391038355,5.642166982761267,5,4.1069239058916915,5,False.
MD,15,776,323-7087,no,no,0,5.937122929038804,5,4.143580352893535,1.5242625127520064,1,7.493409210224604,3.210760317909541,50,7.092434860160272,4.001727059903144,2,3.2143002404257035,7,True.
MD,39,776,518-2398,yes,yes,500,2.8686159011235364,2,4.793949146936521,4.330362403573624,3,3.5265162212576944,3.8457629604245303,250,5.179689848605809,4.540302943467268,4,3.635121651114834,7,True.
MD,97,776,441-1891,no,no,0,10.260801111069355,5,7.954439582179452,7.093420685536857,3,7.181936483241401,3.2387237814906604,150,7.021454751319188,3.6353184303750337,5,4.766931052286632,5,True.
MD,137,776,955-8130,yes,no,0,5.5340001071580245,3,5.762480997179983,6.378105126032749,3,3.9394762286115967,3.578008236718308,200,5.455008815887027,4.229501172676216,7,3.97653232605799,6,True.
MD,88,776,817-5588,yes,no,0,8.259841533417026,4,4.154325066981394,8.295095976828776,2,5.775067245808628,1.3045560860310914,200,7.522864142744227,5.098410019149587,10,2.067272548534916,6,True.
MD,5,776,850-8308,yes,yes,200,8.70828391579197,1,7.9567261379663945,8.627271703675758,5,4.6754512018471255,5.636551523948169,300,4.901546946669491,4.67349254438222,7,6.606534329147339,3,True.
MD,154,776,113-5190,yes,yes,400,6.728245344690382,3,6.951900364192138,7.587183608294632,3,4.338679295914839,4.529579767994252,250,5.4734462706223885,4.8260679952493275,5,4.967161730906255,6,True.
MD,179,776,354-8989,no,yes,700,9.133317600908072,1,7.297722927432373,6.3053754715867285,1,5.834908639164453,5.6158183322135145,200,5.911650768983005,4.183632450906321,5,6.221857691506887,6,False.
MD,3,776,835-3198,yes,no,0,1.1910674325206652,2,4.747126601861938,3.954549737849024,4,2.8511142603276336,6.164068502249664,350,0.9354521612020577,4.677871940065027,8,5.2303212775936485,5,False.
MD,108,776,985-7401,no,yes,400,6.410781706236582,3,6.627306006981112,3.3063903027659887,6,4.4689631283742175,6.054546309153826,100,4.759467431229927,4.951441223503938,6,4.415980988814399,4,True.
MD,163,776,980-7532,no,no,0,4.364849075092984,5,3.0085635208895094,2.559890386994446,5,5.639352200972332,6.260690269008523,300,6.195842218831233,4.073800807276995,4,0.6797007534196853,7,False.
MD,149,776,393-7837,yes,no,0,7.4802958707341025,0,6.967081624627938,4.321226287704755,0,6.858550552106142,1.2326476059279452,200,7.260388665115888,5.043844063382678,4,2.242458807783737,8,True.
MD,182,776,905-6857,no,yes,500,1.3975597623478864,3,4.703923896928902,3.462628622735194,5,2.9017473430727247,4.048250819388513,350,3.0469027739850025,4.262375681171017,8,1.5609978858948814,6,False.
MD,154,776,706-1037,yes,yes,300,2.045388981010228,3,1.4489167014827475,1.6678792655465724,3,2.4964920711202696,2.7020125227670166,250,3.7084223368667386,7.130236083998778,5,1.626205117399269,6,False.
MD,64,776,996-1963,yes,yes,400,0.060180479225722124,5,3.613907475369965,4.7026699985906735,5,3.0469406068459124,4.3014473346802475,200,1.5766821842113283,5.06323305868961,4,7.675334715672602,3,False.
MD,141,776,772-9834,yes,no,0,8.695632361473464,4,4.250158211358296,6.5696192389007475,1,7.228370086893816,4.202209325734711,100,5.504742636957881,6.139528391331473,8,5.531939877551625,5,True.
MD,189,776,276-1942,no,yes,600,3.2460115229232254,4,6.727368445832566,4.890282372767339,8,3.422359047017098,4.937434929297315,400,2.5115260641998165,4.969505023190034,8,3.58440171616848,4,False.
MD,59,776,482-1935,yes,no,0,3.038494833624549,5,1.9854909090515658,6.39281198599949,0,4.33290129889107,3.775981014548872,200,5.25850204693244,7.012702003274776,5,5.4743354457111595,6,True.
MD,43,776,664-9362,no,yes,500,1.1611695543470908,4,3.8720548406926,1.0812818794275114,3,4.027654864874198,3.078811438343485,150,2.2185941460516543,3.6459027872182364,8,2.9773439673040194,4,False.
MD,63,776,689-5699,no,no,0,7.429557622475037,5,5.6415966760961345,4.058160239732049,5,5.2611025498713335,5.489543359307032,100,6.322122014219383,3.658820901869437,6,2.556752908503912,5,True.
MD,145,776,380-3128,yes,no,0,5.412983516279031,4,4.8379974171692055,5.451053001131731,2,4.700894754268948,4.345574208183886,150,5.287488537158246,4.436816058258618,6,4.774288690573567,5,True.
MD,182,776,517-1226,yes,yes,500,11.541150291388067,2,9.230613320255813,6.9941059748655094,1,8.757799270676559,2.9160502041582235,150,4.121844597456286,6.388595221339656,8,10.127506825469622,2,True.
MD,87,776,744-8444,yes,no,0,0.8602045676342671,2,4.1460187935759185,3.25435293961577,5,1.6321821168632438,3.991571471726744,250,2.058613796535922,4.9136145804052855,6,4.289656368415768,5,False.
MD,192,776,389-9079,no,yes,300,6.677099489674621,5,2.928481324849487,4.538569944932606,8,1.4244186853552474,1.4560538648940895,400,0.7634077594480121,4.301093867122436,5,3.8550421155853702,4,False.
MD,24,776,804-8100,no,yes,700,1.0068171928596472,4,2.8495327722171986,7.0922735770891085,1,2.3033505456552623,2.857170802688228,350,1.7475631388833954,5.162218157106219,6,7.414498667296709,5,False.
MD,87,776,727-6881,no,no,0,5.472753147448547,5,2.257730877528332,2.164659314505137,6,0.8871719332516541,1.1399867202285412,350,1.1433658704487728,4.498819165205923,5,3.8414730293308654,4,False.
