State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
RI,85,827,259-2488,yes,yes,400,6.799099844993602,5,5.458616443397046,5.4340869927251845,3,5.378745851274585,5.1945631495169104,150,6.1494795337354295,3.8911927517744638,5,3.7864641929611813,6,True.
RI,171,827,403-2343,yes,no,0,7.267400241884255,2,5.8667095343034426,4.31316625444956,3,5.964999387371671,6.640410476857812,250,5.003628556973557,3.0170073327091647,6,3.402553296065536,7,False.
RI,190,827,294-3013,yes,yes,400,6.6451101525527045,2,6.08834165506369,7.652222710106889,2,4.621167705827574,3.463265629686034,250,5.895515327516781,4.471445380708176,6,5.066261036131261,5,True.
RI,173,827,878-5328,yes,no,0,6.272918251593738,4,5.697703217548841,6.40890695383043,4,4.1978220529659165,3.740164006875687,250,6.139238406636943,4.2556127689873335,7,2.34665659275119,5,True.
RI,151,827,382-5223,yes,no,0,5.620233901946974,0,6.627477007466417,5.3016436238677915,0,5.753819086355943,1.1415491607617343,300,6.450897511127303,7.8415200226564465,4,3.3105971106050798,8,True.
RI,114,827,124-6703,no,yes,200,11.652357425176639,2,7.74329438961329,7.839499009418852,2,7.848894887998125,3.6269121058927114,250,7.6256749916419375,6.019588139233005,6,5.280563251177532,4,True.
RI,177,827,610-3997,no,no,0,2.09276989531031,5,3.8787764251513885,8.390969555515499,2,3.209590846168428,1.9584236753966595,350,4.535364851230956,5.204256596502035,6,4.930525524942476,5,False.
RI,22,827,128-4698,no,yes,500,1.4030208247025984,6,3.2775573024584084,3.5098835577331235,5,4.4512575239151015,5.600713303808696,400,2.0795273712890587,3.795765537217183,7,2.91135348220483,5,False.
RI,41,827,167-9054,no,no,0,3.7048258147335487,2,4.044400793052528,4.4339890320652335,0,4.765113912414995,5.10118299822576,200,4.05977455966408,5.6099004178914615,4,6.407390388420709,6,False.
RI,75,827,163-4839,yes,yes,400,10.645254799982037,5,5.36479724063602,4.062459666678132,3,6.2503426672686775,6.556092267020543,0,7.161860793743378,4.560576348530703,9,1.8943395186285892,4,True.
RI,53,827,601-4388,no,no,0,6.225247749825102,4,4.631186868113091,5.314723837852185,3,5.747772588775188,6.146863086041124,150,4.522024810820689,5.231194499986893,5,6.4185343520119265,4,True.
RI,103,827,408-8795,yes,yes,500,6.430314009173099,5,3.8099262045335536,5.780729039850844,4,5.058177020473005,7.128954975804888,150,4.778428025909343,5.579203712358147,7,5.507453231029725,4,True.
RI,24,827,560-6307,no,yes,600,4.819907696147472,3,6.788620777917443,6.358329497542482,7,3.9494317732960766,6.715171208326727,350,2.7340274290287656,3.93153805268635,6,6.876041395299492,4,False.
RI,4,827,329-4813,no,no,0,4.636408542560026,6,2.93951993459228,2.8090552724204314,3,4.0190753376358375,5.218116390965194,50,6.342532524421816,4.95472201503572,7,1.0989333972147763,6,True.
RI,72,827,886-2592,yes,no,0,5.027153940683415,2,4.79264361022112,3.5741310053704685,0,4.987830517285278,2.9201620139426403,300,6.124854197787782,3.9929467880359857,8,0.01508535502641628,8,False.
RI,172,827,673-2941,no,yes,300,8.737569511328386,1,5.7660766259914045,7.823843875906676,2,7.763558318689737,2.5462625094193667,250,5.254398858057645,4.5472128158660094,7,7.394516121084352,5,True.
RI,198,827,278-9201,no,no,0,10.887262325992284,5,7.265846118619827,7.433797757035161,1,7.753510476637349,4.3671568313537685,100,6.815946908919193,4.239314820210065,5,5.276036075023446,6,True.
RI,78,827,359-4863,yes,yes,400,3.4456804303422626,5,5.283444032409079,3.093716791536016,6,2.9153769344917597,4.6033884479393565,200,6.324333899538794,7.651653766614838,4,0.05731814425880177,8,True.
RI,175,827,608-3201,yes,yes,200,7.936987857603245,3,6.94455650418858,4.99924248034282,4,6.884302203241942,5.434158942050617,200,5.896483491292898,4.861916528349304,2,5.463828326965584,6,True.
RI,11,827,209-5357,yes,no,0,1.9396800739200888,6,4.3269320294834746,6.763468412452518,2,4.353286386940279,2.073920866671761,300,3.371847471219225,6.917926365575673,5,6.826272649817165,5,False.
